cord1 cord2 cord3 cord4 cord5 cord6 cord7 cord8 cord9 cord10 cord11 cord12 cord13 cord14 age edu alive middle poor work
1 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 30 0 3 0 1 1
2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 32 0 1 0 1 0
3 2 1 1 1 2 NA NA NA NA NA NA NA NA NA 28 0 5 0 1 1
4 2 1 1 2 NA NA NA NA NA NA NA NA NA NA 39 0 4 1 0 0
5 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 20 0 2 1 0 0
6 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 25 0 3 1 0 1
7 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 22 0 3 0 1 1
8 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 35 6 3 1 0 0
9 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 21 0 2 0 1 0
10 1 2 2 2 NA NA NA NA NA NA NA NA NA NA 35 0 4 0 1 1
11 2 1 2 2 NA NA NA NA NA NA NA NA NA NA 28 0 4 1 0 1
12 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 27 10 3 1 0 1
13 2 2 2 2 NA NA NA NA NA NA NA NA NA NA 28 0 4 1 0 1
14 2 1 2 1 1 NA NA NA NA NA NA NA NA NA 45 0 5 0 1 0
15 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 20 0 2 0 1 1
16 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 39 0 1 0 1 1
17 2 1 2 2 1 1 NA NA NA NA NA NA NA NA 33 0 6 0 1 1
18 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 24 0 3 0 1 1
19 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 46 0 3 0 1 1
20 2 1 2 NA NA NA NA NA NA NA NA NA NA NA 42 0 3 0 1 1
21 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 26 0 3 0 1 1
22 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 31 0 2 0 1 0
23 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 0 2 0 1 1
24 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 33 5 4 0 1 1
25 2 1 1 1 NA NA NA NA NA NA NA NA NA NA 43 0 4 1 0 1
26 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 18 0 1 1 0 1
27 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 46 0 3 1 0 1
28 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 27 0 2 1 0 1
29 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 5 2 1 0 1
30 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 22 4 2 1 0 1
31 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 36 5 1 0 1 0
32 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 31 0 3 0 1 0
33 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 19 5 2 1 0 0
34 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 34 0 2 1 0 1
35 2 1 1 1 NA NA NA NA NA NA NA NA NA NA 43 0 4 1 0 0
36 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 31 0 3 0 1 1
37 2 1 2 NA NA NA NA NA NA NA NA NA NA NA 37 0 3 1 0 1
38 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 35 0 3 1 0 1
39 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 29 0 3 0 1 1
40 1 1 2 1 NA NA NA NA NA NA NA NA NA NA 42 0 4 1 0 0
41 1 1 1 1 1 NA NA NA NA NA NA NA NA NA 43 0 5 1 0 0
42 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 21 0 2 1 0 1
43 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 22 0 3 1 0 1
44 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 29 0 3 0 1 1
45 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 32 0 3 0 1 1
46 2 1 2 NA NA NA NA NA NA NA NA NA NA NA 30 0 3 1 0 0
47 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 34 0 3 1 0 1
48 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 23 9 2 1 0 1
49 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 32 0 3 0 1 1
50 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 32 0 2 1 0 1
51 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 37 0 3 0 1 0
52 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 32 0 2 0 1 1
53 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 36 0 2 0 1 1
54 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 22 7 4 1 0 0
55 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 26 5 3 0 1 1
56 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 23 0 3 0 1 1
57 2 1 2 2 NA NA NA NA NA NA NA NA NA NA 43 0 4 1 0 0
58 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 24 5 2 1 0 0
59 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 33 0 3 1 0 1
60 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 27 0 3 0 1 1
61 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 27 6 3 1 0 0
62 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 35 7 2 0 0 0
63 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 47 0 3 1 0 0
64 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 10 2 1 0 0
65 2 2 2 1 1 NA NA NA NA NA NA NA NA NA 34 0 5 0 1 1
66 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 28 0 2 0 1 0
67 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 31 0 4 0 1 1
68 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 37 0 3 0 1 1
69 2 2 2 1 2 NA NA NA NA NA NA NA NA NA 44 0 5 1 0 1
70 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 23 0 2 1 0 0
71 1 1 2 2 1 1 NA NA NA NA NA NA NA NA 43 0 6 1 0 0
72 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 32 0 3 1 0 0
73 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 41 0 2 1 0 0
74 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 23 5 3 1 0 0
75 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 24 0 2 1 0 0
76 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 27 9 2 1 0 0
77 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 22 0 2 1 0 0
78 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 26 9 2 1 0 0
79 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 31 2 3 0 1 1
80 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 27 0 3 1 0 0
81 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 23 9 1 1 0 0
82 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 1 0 1
83 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 41 0 3 1 0 0
84 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 46 0 2 1 0 1
85 1 2 2 1 NA NA NA NA NA NA NA NA NA NA 35 4 4 1 0 1
86 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 5 2 1 0 0
87 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 25 4 2 0 1 1
88 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 30 0 2 1 0 0
89 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 37 0 2 1 0 0
90 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 25 4 3 1 0 0
91 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 22 4 1 1 0 0
92 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 45 4 4 1 0 0
93 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 23 5 2 1 0 0
94 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 26 0 3 1 0 1
95 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 36 0 2 0 1 1
96 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 26 0 2 0 1 1
97 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 30 0 1 0 1 1
98 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 35 0 2 1 0 1
99 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 1 0 1
100 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 35 0 2 1 0 1
101 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 29 0 1 0 1 1
102 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 38 3 3 1 0 0
103 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 35 0 3 0 1 1
104 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 41 6 3 1 0 1
105 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 38 4 3 1 0 0
106 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 34 0 2 0 1 1
107 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 38 5 2 1 0 0
108 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 38 5 3 1 0 0
109 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 48 0 3 1 0 1
110 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 29 0 2 1 0 0
111 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 33 5 2 1 0 0
112 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 33 0 3 0 1 1
113 1 2 2 2 2 2 NA NA NA NA NA NA NA NA 38 0 6 0 1 1
114 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 26 4 3 0 1 1
115 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 19 0 2 0 1 1
116 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 27 0 2 0 1 1
117 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 1 0 0
118 2 1 1 1 NA NA NA NA NA NA NA NA NA NA 36 5 4 1 0 0
119 2 1 2 1 2 NA NA NA NA NA NA NA NA NA 31 0 5 1 0 1
120 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 47 0 1 0 1 0
121 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 23 0 3 0 1 0
122 2 1 2 2 NA NA NA NA NA NA NA NA NA NA 38 5 4 1 0 0
123 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 22 0 2 0 1 1
124 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 24 0 2 0 1 1
125 2 1 2 NA NA NA NA NA NA NA NA NA NA NA 35 0 3 0 1 1
126 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 26 5 2 1 0 1
127 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 37 0 2 1 0 1
128 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 27 2 2 0 1 0
129 2 2 2 1 NA NA NA NA NA NA NA NA NA NA 34 0 4 0 1 1
130 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 24 0 2 0 1 1
131 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 25 0 3 0 1 0
132 2 1 1 2 NA NA NA NA NA NA NA NA NA NA 46 0 4 0 1 0
133 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 33 0 2 0 1 1
134 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 24 7 2 1 0 0
135 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 24 2 2 0 1 1
