sp117,sp120,sp121,sp125,sp126,sp139,sp145,sp148,sp154,sp161,sp165,sp166,sp180,sp181,sp191,sp192,sp194,sp195,sp197,sp200,sp266,sp267,sp269,sp273,sp277,sp280,sp282,sp285,sp286,sp299,sp302,sp304,sp313,sp315,sp317,sp318,sp319,sp323,sp327,sp329,sp331,sp345,sp346,sp351,sp353,sp354,sp355,sp359,sp363,sp370,sp376,sp377,sp378,sp382,sp385,sp387,sp390,sp393,sp395,sp400,sp407,sp408,sp429,sp430,sp431,sp432,sp435,sp441,sp444,sp447,sp448,sp454,sp456,sp461,sp469,sp472,sp473,sp476,sp478,sp484,sp488,sp490,sp496,sp503,sp504,sp506,sp523,sp546,sp550,sp553,sp557,sp571,sp574,sp576,sp577,sp578,sp580,sp584,sp585,sp590,sp591,sp617,sp619,sp623,sp630,sp635,sp638,sp639,sp648,sp653,sp661,sp662,sp666,sp669,sp671,sp674,sp680,sp681,sp694,sp702,sp707,sp710,sp717,sp719,sp720,sp725,sp726,sp728,sp729,sp730,sp733,sp736,sp738,sp739,sp746,sp747,sp749,sp752,sp758,sp759,sp761,sp764,sp765,sp767,sp768,sp770,sp771,sp772,sp776,sp779,sp784,sp785,sp795,sp80,sp800,sp803,sp812,sp818,sp822,sp823,sp824,sp826,sp828,sp889,sp891,sp892,sp895,sp896,sp897,sp898,sp899,sp903,sp904,sp907,sp908,sp911,sp913,sp915,sp916,sp917,sp918,sp919,sp920,sp921,sp922,sp923,sp928,sp929,sp933,sp934,sp935,sp936,sp938,sp941,sp946,sp963,sp964
2,1,1,0,0,1,0,3,0,1,3,4,4,0,0,9,2,6,0,0,0,16,31,2,40,0,1,78,0,0,14,0,19,0,0,148,0,1,18,1,34,0,0,2,0,0,1,0,3,0,1,2,0,5,0,0,1,29,18,2,8,0,3,87,2,16,0,4,65,0,3,0,94,6,126,0,1,22,3,0,10,0,0,24,7,0,0,0,1,1,4,0,37,4,1,10,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,1,0,0,7,2,5,14,2,20,0,1,7,1,0,0,6,0,1,0,0,0,1,0,1,6,0,1,0,0,0,0,0,7,0,1,0,6,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,9,0,0,0,1,3,5,0,9,1,0,0,0,0,0,1,0,1,1,0
3,1,1,0,0,1,0,1,0,2,11,4,8,0,0,19,2,1,0,0,0,20,11,1,8,0,0,48,0,0,10,1,3,1,2,160,2,0,10,1,45,2,1,4,0,1,2,0,1,0,0,0,0,5,1,0,0,17,9,0,2,1,0,73,1,5,0,4,22,0,2,0,90,0,46,0,0,23,2,0,11,0,0,5,11,0,0,1,2,2,4,0,13,0,0,3,4,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,2,1,0,15,1,19,0,1,33,2,0,2,21,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,13,1,3,0,2,2,0,0,1,6,0,0,1,4,1,1,0,0,0,1,0,0,1,0,0,2,0,0,1,5,0,0,0,3,9,0,0,12,1,1,1,0,1,0,2,1,1,3,0
2,0,3,6,0,1,0,1,0,1,9,1,18,0,0,15,15,0,1,0,0,14,12,5,4,0,0,41,0,1,49,1,13,0,2,218,4,0,5,3,46,3,0,24,1,0,0,0,2,0,1,0,0,9,0,0,0,20,80,2,8,1,0,54,6,3,0,1,35,0,2,0,90,1,31,0,0,25,2,0,4,0,0,2,5,0,0,2,0,0,5,0,16,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,10,2,0,0,0,0,3,0,23,4,0,30,2,24,1,0,100,2,0,7,6,0,0,2,0,1,24,0,1,1,0,0,0,1,0,0,0,8,10,12,0,18,0,5,0,0,0,2,2,0,1,0,0,7,3,1,1,2,4,0,0,1,0,0,2,0,1,4,14,0,2,1,2,2,8,0,27,6,0,1,0,0,0,0,1,0,2,0
5,0,2,2,0,2,1,2,1,0,3,2,17,0,0,17,23,1,0,2,1,14,22,2,15,0,0,108,0,5,98,2,28,1,0,179,15,1,12,6,66,2,0,25,0,0,1,0,0,0,5,1,0,10,1,1,0,51,130,5,10,0,5,105,18,11,0,4,13,0,6,0,179,1,17,0,0,35,3,0,21,1,1,11,5,0,1,0,0,2,3,0,12,0,0,1,0,0,3,0,0,0,0,4,1,8,0,1,0,11,0,0,1,1,2,0,0,25,1,0,10,0,18,2,1,98,7,0,9,3,1,0,2,0,1,35,0,0,1,0,0,1,0,0,0,0,4,12,15,0,5,0,4,1,0,0,0,4,1,0,0,0,1,1,1,0,3,0,1,0,2,0,2,0,0,0,3,19,0,0,0,3,3,6,0,20,7,0,3,0,0,0,3,0,2,0,0
3,0,2,1,1,2,0,0,0,0,2,7,14,0,0,11,7,0,0,1,2,20,7,0,2,1,0,21,0,0,204,5,41,1,4,169,4,1,6,2,40,0,1,9,0,2,0,0,1,0,0,2,0,6,0,0,0,56,94,6,9,0,0,49,2,8,0,4,10,0,5,0,251,3,16,0,1,20,0,0,11,0,0,12,5,0,0,0,0,1,1,0,18,1,0,1,1,0,0,1,0,0,1,3,0,4,1,0,0,12,0,0,0,3,0,3,0,31,5,0,22,2,17,4,1,71,3,0,9,6,0,0,0,0,0,25,0,2,0,0,0,2,0,0,0,0,0,2,8,0,11,0,13,0,0,1,1,0,0,0,0,0,3,2,0,0,0,2,0,0,1,0,0,1,0,0,0,8,0,0,0,1,0,5,0,12,2,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,2,2,9,19,0,0,20,3,0,1,2,0,26,36,0,4,0,2,91,0,4,202,8,36,2,1,92,3,0,2,6,35,2,2,17,0,0,0,0,2,0,4,0,1,11,1,0,0,72,113,5,9,0,2,62,13,6,0,2,15,0,19,0,420,0,12,0,5,20,1,0,14,1,0,9,6,1,0,0,1,0,4,0,29,1,0,1,0,0,0,2,0,1,0,5,1,40,0,0,0,44,1,1,1,0,0,2,0,33,1,0,15,3,32,5,0,89,14,0,32,1,0,0,2,1,0,6,0,0,0,0,0,3,3,0,1,0,2,4,11,0,6,0,12,0,0,0,0,2,0,0,0,1,3,3,0,0,1,0,1,0,2,0,1,1,1,0,0,18,0,0,0,1,2,4,2,20,9,0,3,0,0,0,1,4,0,0,1
3,0,0,0,2,1,0,0,0,1,6,17,30,1,1,10,6,0,0,2,2,45,34,0,0,0,4,30,0,2,191,3,68,4,3,85,5,0,2,3,15,0,9,20,0,0,0,0,1,1,4,0,0,6,0,0,0,5,79,1,7,0,1,74,7,0,0,2,23,0,5,0,658,2,21,0,0,9,0,0,8,2,2,8,4,1,1,1,1,0,2,2,37,1,0,2,2,0,0,1,1,0,0,1,0,20,0,0,0,77,3,0,1,2,1,14,2,56,8,0,58,7,44,4,2,139,11,0,10,10,1,0,0,1,0,25,0,5,1,0,0,1,1,0,0,0,1,4,8,0,11,0,24,2,0,0,1,1,0,0,0,1,3,7,1,0,0,3,0,1,5,0,0,1,0,1,1,17,0,0,3,1,0,6,0,16,5,0,0,0,0,0,7,5,2,0,0
0,1,2,0,0,0,0,3,5,0,1,12,26,1,0,7,8,0,2,2,2,52,36,0,2,0,9,168,0,1,88,6,164,7,17,173,19,0,10,1,13,0,0,18,0,1,0,0,1,0,1,1,0,11,1,1,0,38,100,6,9,2,2,143,31,21,0,3,24,0,4,0,322,2,57,0,2,24,0,0,19,0,0,6,7,0,0,0,0,0,2,0,60,1,0,1,5,0,0,1,4,0,0,0,0,11,0,0,0,19,1,1,0,0,0,4,0,21,4,0,45,6,62,2,2,85,8,0,14,4,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,3,5,2,0,1,0,8,1,0,0,1,3,1,0,0,0,5,5,0,2,1,3,0,0,1,0,1,2,0,0,0,7,0,0,0,4,1,5,0,15,2,1,3,1,0,0,2,0,0,0,0
3,0,0,0,0,1,0,4,2,1,1,2,12,0,0,9,2,1,1,0,0,19,74,0,2,0,6,90,0,4,48,20,69,1,2,151,3,0,11,4,17,0,0,6,0,1,0,0,0,0,3,0,0,11,0,0,0,11,44,2,5,1,6,84,12,12,0,2,14,0,2,0,140,0,12,0,15,21,0,0,8,0,4,4,8,0,0,0,1,1,1,0,21,1,1,2,8,1,0,1,0,0,0,0,0,14,0,0,0,2,3,0,0,3,0,1,0,4,1,0,37,3,15,0,2,34,1,0,4,3,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,1,3,3,3,0,0,1,3,1,1,0,0,5,0,0,0,3,6,3,0,0,0,3,1,0,2,0,0,2,0,0,0,8,1,0,0,0,2,2,0,6,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,1,2,0,3,2,2,1,6,57,0,0,14,1,0,3,1,2,28,49,0,3,0,0,53,0,4,27,14,38,2,18,179,8,0,9,8,23,0,2,36,2,0,0,0,1,0,6,0,0,6,1,0,0,11,44,13,4,1,1,67,15,10,0,1,9,0,7,1,103,0,10,1,2,11,0,0,20,1,2,2,8,0,1,0,2,2,3,0,42,0,0,0,0,0,0,3,1,0,0,1,0,17,0,1,1,11,3,3,1,1,0,1,1,7,3,0,20,5,17,3,5,51,7,1,18,5,1,0,0,1,0,13,1,3,2,1,0,1,0,0,0,0,11,8,3,0,6,0,21,0,0,0,0,16,0,0,0,9,11,2,1,3,2,3,3,0,2,0,0,3,0,1,0,11,0,0,0,1,3,4,0,23,1,1,0,1,1,0,1,3,2,0,2
