"ID","Name","City","Auth","Dec","Roll"
1015,"Hora Hora School","Whangarei","State",2,318
1052,"Morningside School","Whangarei","State",3,200
1062,"Onerahi School","Whangarei","State",4,455
1092,"Raurimu Avenue School","Whangarei","State",2,86
1130,"Whangarei School","Whangarei","State",4,577
1018,"Hurupaki School","Whangarei","State",8,329
1029,"Kamo Intermediate","Whangarei","State",5,637
1030,"Kamo School","Whangarei","State",5,395
1588,"St Francis Xavier School (Whangarei)","Whangarei","State Integrated",6,438
1154,"TKKM o Te Rawhiti Roa","Whangarei","State",1,201
1113,"Tikipunga Primary School","Whangarei","State",2,267
1028,"Totara Grove School","Whangarei","State",2,194
4154,"Whangarei Adventist Christian School","Whangarei","State Integrated",4,26
1129,"Whangarei Intermediate","Whangarei","State",4,639
1131,"Whau Valley School","Whangarei","State",2,212
1007,"Blomfield Special School & Resource Ctre","Whangarei","State",3,68
18,"Mangakahia Area School","Whangarei","State",3,157
1048,"Maungatapere School","Maungatapere","State",9,193
15,"Whangarei Boys' High School","Whangarei","State",5,1060
16,"Whangarei Girls' High School","Whangarei","State",5,1127
429,"Kamo Christian College","Whangarei","State Integrated",5,191
13,"Kamo High School","Whangarei","State",5,1333
1050,"Maunu School","Whangarei","State",9,324
17,"Pompallier Catholic College","Whangarei","State Integrated",7,560
14,"Tikipunga High School","Whangarei","State",2,437
1069,"Te Kura o Otangarei","Whangarei","State",1,177
20,"Bream Bay College","Ruakaka","State",4,457
1019,"Kaeo School","Kaeo","State",3,90
1047,"Maungakaramea School","Maungakaramea","State",9,103
12,"Tauraroa Area School","Whangarei","State",7,393
1648,"Manaia View School","Whangarei","State",1,289
1138,"Christian Renewal School","Whangarei","State Integrated",5,151
2757,"He Mataariki School for Teen Parents","Whangarei","State",1,24
1014,"Hikurangi School","Hikurangi","State",1,198
1094,"Ruakaka School","Ruakaka","State",4,127
1068,"Otaika Valley School","Whangarei","State",4,77
1061,"One Tree Point School","One Tree Point","State",4,181
1075,"Pakotai School","Whangarei","State",2,24
1011,"Glenbervie School","Glenbervie","State",7,231
1056,"Ngunguru School","Ngunguru","State",7,196
1080,"Parua Bay School","Whangarei","State",9,191
1128,"Whangarei Heads School","Whangarei Heads","State",9,107
1089,"Purua School","Whangarei","State",5,19
1110,"Te Horo School (Whangarei)","Whangarei","State",2,44
1084,"Portland School","Portland","State",2,56
1036,"Kokopu School","Whangarei","State",9,95
1083,"Poroti School","Whangarei","State",6,37
1127,"Whananaki School","Whangarei","State",5,43
1017,"Hukerenui School Years 1-8","Whangarei","State",5,142
1667,"Whangaruru School","Hikurangi","State",1,52
1032,"Kaurihohore School","Whangarei","State",6,141
1043,"Matarau School","Whangarei","State",9,204
1124,"Waiotira School","Whangarei","State",7,32
1063,"Opua School","Opua","State",7,95
1072,"Paihia School","Paihia","State",4,168
1096,"Russell School (Bay Of Islands)","Russell","State",6,115
1033,"Kawakawa Primary School","Kawakawa","State",1,310
2103,"Moerewa School","Moerewa","State",1,228
1594,"Riverview School","Kerikeri","State",8,381
8,"Bay of Islands College","Kawakawa","State",1,422
2104,"TKKM o Taumarere","Moerewa","State",1,49
5,"Kerikeri High School","Kerikeri","State",7,1302
1034,"Kerikeri Primary School","Kerikeri","State",7,547
436,"Springbank School","Kerikeri","Private",8,255
2102,"Maromaku School","Kawakawa","State",3,54
1053,"Motatau School","Kawakawa","State",2,28
1031,"Karetu School","Kawakawa","State",3,52
1666,"Te Kura o Waikare","Waikare","State",1,38
1112,"Te Tii School","Purerua","State",3,21
19,"Dargaville High School","Dargaville","State",3,528
1008,"Dargaville Intermediate","Dargaville","State",3,166
1097,"Selwyn Park School","Dargaville","State",1,128
1098,"St Joseph's School (Dargaville)","Dargaville","State Integrated",3,114
1009,"Dargaville Primary School","Dargaville","State",4,401
1111,"Te Kopuru School","Te Kopuru","State",2,160
1002,"Arapohue School","Dargaville","State",6,40
1105,"Tangowahine School","Dargaville","State",4,46
1020,"Kaihu Valley School","Dargaville","State",2,24
1001,"Aranga School","Aranga","State",4,52
1104,"Tangiteroria School","Tangiteroria","State",5,39
1085,"Pouto School","Te Kopuru","State",4,18
1021,"Kaikohe East School","Kaikohe","State",1,228
1025,"Kaitaia Intermediate","Kaitaia","State",2,253
1026,"Kaitaia School","Kaitaia","State",1,277
1082,"Pompallier School","Kaitaia","State Integrated",3,126
2,"Taipa Area School","Mangonui (Northland)","State",3,464
1175,"Kaikohe Christian School","Kaikohe","State Integrated",4,171
1022,"Kaikohe Intermediate","Kaikohe","State",1,199
1023,"Kaikohe West School","Kaikohe","State",1,367
9,"Northland College","Kaikohe","State",1,454
11,"Opononi Area School","Kaikohe","State",2,269
4227,"TKKM o Kaikohe","Kaikohe","State",1,222
238,"Kaitaia Abundant Life School","Kaitaia","State Integrated",2,211
3,"Kaitaia College","Kaitaia","State",2,862
3114,"TKKM o Pukemiro","Kaitaia","State",1,66
1093,"Rawene School","Rawene","State",2,80
3539,"St Patrick's School (Waimate)","Waimate","State Integrated",3,57
4,"Whangaroa College","Kaeo","State",2,154
1000,"Ahipara School","Ahipara","State",3,241
1004,"Awanui School","Northland","State",2,74
1039,"Mangonui School","Far North District","State",3,151
1035,"Kohukohu School","Kohukohu","State",2,45
6,"Broadwood Area School","Hokianga","State",1,135
1058,"Ohaeawai School","Kaikohe","State",2,119
1065,"Oromahoe School","Kaikohe","State",6,60
1073,"Pakaraka School","Kaikohe","State",2,57
1060,"Omanaia School","Kaikohe","State",3,27
3117,"TKKM o Te Tonga o Hokianga","Kaikohe","State",2,57
1122,"Waima School","Kaikohe","State",1,62
2101,"Tautoro School","Kaikohe","State",1,77
1016,"Horeke School","Far North District","State",1,23
7,"Okaihau College","Bay Of Islands","State",2,392
1059,"Okaihau School","Okaihau","State",4,125
1037,"Mangamuka School","Okaihau","State",1,24
1119,"Umawera School","Umawera","State",2,40
1044,"Matauri Bay School","Matauri Bay","State",2,38
3106,"TKKM o Whangaroa","Tapui","State",2,35
1100,"Te Kura o Hato Hohepa Te Kamura","Kaeo","State Integrated",1,18
1116,"Totara North School","Totara North","State",3,39
1013,"Herekino School","Herekino","State",2,61
1087,"Pukepoto School","Pukepoto","State",2,77
